summary,description,Ticker,adjusted_date,sentiment
"Based on a survey of 500 UAE residents commissioned by Hilton, the new report reveals the aspirations and needs of people taking trips next year. In fact, Hilton is witnessing signs of this growth through its reimagined Hilton Honors Experiences, which saw a 77% year-over-year increase in Hilton Honors Point redemption during the first nine months of 2022, allowing members to connect with their passions through new, exclusive artist and celebrity events. 

Travelers will want to be taken care of more than ever

Next year, Hilton anticipates UAE travellers will have a renewed appreciation for experiencing moments where they feel special. Through the award-winning guest loyalty program Hilton Honors, the nearly 146 million members who book directly with Hilton can earn Points for hotel stays and experiences money can't buy.","DUBAI, United Arab Emirates, November 14, 2022--If 2022 was the year of the changed traveler, 2023 is the year of the evolved traveller. Today, Hilton released its latest global 2023 trends report, The 2023 Traveler: Emerging Trends that are Innovating the Travel Experience, A Report from Hilton, which reveals the latest consumer expectations following a year when travellers showed up in record numbers.",HLT,9/16/2022 0:00,positive
"Catalent (NYSE:CTLT) has expanded the services and capabilities at its facility in Shiga, Japan, to include the storage, kitting, and distribution of advanced therapies at ultra-low temperatures for clinical trials. The expansion forms part of Catalent's ongoing global strategy to increase its ability to handle, store and manage advanced therapies for clinical supply, and follows investments at its facilities in Philadelphia, Singapore, and Shanghai, China. The 6,000-square-meter Shiga site opened in October 2021 to support customers both locally and globally, providing flexible clinical supply solutions. Catalent is the global leader in enabling pharma, biotech, and consumer health partners to optimize product development, launch, and full life-cycle supply for patients around the world.","Catalent (NYSE:CTLT), the leader in enabling the development and supply of better treatments for patients worldwide, today announced that it has expanded the services and capabilities at its facility in Shiga, Japan, to include the storage, kitting, and distribution of advanced therapies at ultra-low temperatures for clinical trials.",CTLT,9/16/2022 0:00,positive
"Credit-Card Issuers Sell Off After Discover Charge-Offs Rise. 

It‚Äôs a tough morning for shares of credit-card issuers. Discover‚Äôs fourth-quarter profit of $3.77 per share topped Wall Street expectations, but shares were still down about 3% on Thursday morning. + Other card issuers also sold off: Capital One Financial was down abou","It‚Äôs a tough morning for shares of credit-card issuers. Discover Financial Services reported Wednesday that its fourth-quarter charge-off rate on its cards rose to 2.37%. That rate, or the share of outstanding balances written off as a loss, was 1.92% at the end of the third quarter. + Discover‚Äôs fourth-quarter profit of $3.77 per share topped Wall Street expectations, but shares were still down about 3% on Thursday morning. + Other card issuers also sold off: Capital One Financial was down abou",DFS,9/16/2022 0:00,negative
"The Credit Card Competition Act, introduced by Congress, would require credit card companies to provide merchants with the ability to process their transactions over networks besides their own. This bill would result in more competition and lower interchange fees, but would also reduce credit card access for low-income households. The bill's authors state that the processing fee that credit cards companies charge is too high and contributes to inflation, and that it would lead to higher prices via higher interchange fees. However, a study found no evidence that the cap on interchange fees on debit cards affected consumer prices, but it did result in fewer consumers with debit cards. The legislation would also require American Express and Discover to provide credit cards to protect its data, combat fraud, and maintain and update its network.",Mandating that retailers be allowed to route card transactions to any network will result in some low income credit card users losing access to credit cards altogether.,DFS,9/16/2022 0:00,positive
"A leak of hundreds of gallons of water containing radioactive material has been discovered at a Minnesota nuclear plant near Minneapolis, but there is no danger to the public. The plant is scheduled to power down Friday so permanent repairs can begin, and the leak is expected to be in the hundreds. The first leak of tritium was discovered in November, but monitoring equipment indicated Wednesday that a small amount of new water from the original leak had reached the groundwater. The Minnesota Pollution Control Agency and Minnesota Department of Health have released a statement saying they were told of the new leak Thursday afternoon and that it is ongoing. The agencies will continue to monitor groundwater samples and will inform the public if there is an imminent risk.",A Minnesota plant had a radioactive water leak for the second time. The plant will now be shut down. The plant's owner says there is no danger to the public.,XEL,9/16/2022 0:00,positive
"Constellation Brands reported an 11% increase in beer sales in the latest quarter as its Modelo Especial brand became America's top beer, highlighting a reshuffling of the U.S. market ahead of a critical holiday between Memorial Day and the Fourth of July. The company is moving ahead with plans to build a brewery in Veracruz, Mexico, part of a $4 billion investment over the next few years to add production capacity to its beer business. Overall, Constellation‚Äôs net income fell 65% to $135.9 million and revenue rose 6%, while the company said higher raw material prices, marketing spending and brewery-expansion costs weighed on profits.",Constellation Brands reported an 11% increase in beer sales in the latest quarter as its  Modelo Especial brand became America‚Äôs top beer.,STZ,9/16/2022 0:00,positive
"Kinder Morgan, Inc. (KMI) has been one of the most searched-for stocks on Zacks.com lately, with shares of this oil and natural gas pipeline and storage company returning +3.5% over the past month versus the Zacks S&P 500 composite. This article looks at some of the facts that could shape the stock's performance in the near term, such as the company's earnings estimate revisions and near-term stock price movements. It also looks at how sell-side analysts are revising their earnings estimates to reflect the impact of the latest business trends, and if earnings estimates go up for a company, the fair value for its stock goes up. The company is expected to post earnings of $0.26 per share for the current quarter, representing a year-over-year change of -3.7%. Despite this, the company topped consensus revenue estimates two times over the last four quarters, and is rated Zacks Rank #3.","Recently, Zacks users have been paying close attention to Kinder Morgan (KMI). This makes it worthwhile to examine what the stock has in store.",KMI,9/16/2022 0:00,positive
"A new PitchBook report has found that Med tech startups with patents or patent applications saw more funding at higher valuations than non-patent peers last year. Companies with patents saw the majority of overall VC deal funding last year, with nearly 50% going to seed-stage companies with patents. Early-stage deals saw the biggest slump, with funding down 30% year over year. Private equity deal activity in the space was muted, with only 16 buyouts. In Q1 2023, VCs poured more than $50 million into the surgical technology market, outpacing all other med tech segments. The report predicts the IPO market will open next year, and expects to see a good amount of these med-tech companies go public.",Med tech startups with patents or patent applications saw more funding at higher valuations than non-patent peers last year.,ILMN,9/16/2022 0:00,positive
"Kroger Co. is reaching out to some ex-employees via text and email, helping the company's staffing to near its prepandemic level. General Mills Inc. has persuaded some retirees to return to plant jobs, and other food-company recruiters have combed social media for former workers who might be open to coming back.","Some food retailers and manufacturers are trying to fill staffing gaps with their former workers, who typically require less training.",GIS,9/16/2022 0:00,positive
"Jefferies has three under-the-radar ways to tap into the global electric vehicle boom. Welding products manufacturer Lincoln Electric Holdings, painting equipment maker Graco and industrial adhesive firm Nordson are three companies that will benefit as EV spending ramps up worldwide. The federal tax credit of up to $7,500 through the Inflation Reduction Act that's available to EV buyers also requires that vehicles be assembled in North America. Lincoln Electric would get further support from the roughly $7.5 billion earmarked in the Infrastructure Investment and Jobs Act for a network of EV charging stations in the U.S. Meanwhile, chemicals firm Graco is also dealing with sealing and bonding applications for electric vehicle battery pack and module assembly, which should boost sales of its automotive business.","There's more than one way to tap into the global electric vehicle boom, including looking into welding equipment makers.",NDSN,9/16/2022 0:00,negative
"Morning Mail: quakes kill thousands in Turkey and Syria, poll shows voice support, EV sales soar. A new survey has found 75% of people reported at least one negative experience online last year. The author Salman Rushdie has described himself feeling fortunate and grateful to have survived a knife attack in New York state last year as he gave his first interview since the incident.. FTX, the bankrupt cryptocurrency exchange firm founded by disgraced entrepreneur Sam Bankman-Fried, is demanding refunds of donations made to politicians before its spectacular collapse last year.",Countries are scrambling to offer aid to the Middle Eastern nations struck by a devastating earthquake; public still back key Indigenous reform,WMB,9/16/2022 0:00,positive
"Interpublic Group (IPG) closed at $38.97 in the latest trading session, marking a -1.47% move from the previous day. Shares of the marketing and advertising company had gained 5.16% over the past month, outpacing the Business Services sector's gain of 3.81%. Analysts expect Interpublic Group to post earnings of $0.61 per share and net sales of $2.28 billion, down 3.95% from the year-ago period. The Zacks Consensus Estimate for revenue is projecting net sales and is expected to mark a year-over-year decline of 3%. The Advertising and Marketing industry currently has a Zacks Industry Rank of 207, which puts it in the bottom 18% of all 250+ industries. Investors can capitalize on these estimate changes by using the Zacks Rank.","Interpublic Group (IPG) closed the most recent trading day at $38.97, moving -1.47% from the previous trading session.",IPG,9/19/2022 0:00,negative
"Interpublic Group (IPG) closed the most recent trading day at $37.07, moving +0.22% from the previous trading session. Shares of the marketing and advertising company had gained 9.54% over the past month, outpacing the Business Services sector's loss of 1.44%. Interpublic Group's full-year Zacks Consensus Estimates are calling for earnings of $2.86 per share and revenue of $9.74 billion, which would mark a year-over-year decline of 27.66%. The Zacks Rank system has a proven, outside-audited track record of outperformance, with #1 stocks returning an average of +25% annually since 1988. IPG's industry had an average PEG ratio of 12.94.","Interpublic Group (IPG) closed at $37.07 in the latest trading session, marking a +0.22% move from the prior day.",IPG,9/19/2022 0:00,negative
"Williams Companies' Chief Executive Officer Alan Armstrong said on Wednesday the firm is not interested in three utilities recently bought by Enbridge (ENB.TO) as return rate would be too low. Enbridge has said it will buy East Ohio Gas, Questar Gas, and Public Service Co of North Carolina from Dominion Energy for $14 billion including debt. Williams is creating North America's largest natural gas provider and doubling its gas distribution business.","Williams Companies' Chief Executive Officer Alan Armstrong said on Wednesday the firm is not interested in three utilities recently bought by Canada's pipeline operator Enbridge , as return rate would be too low.",WMB,9/19/2022 0:00,negative
"

According to people familiar with the matter, the Wall Street giant plans to once again combine its expanded asset management and private wealth businesses into one unit run by Marc Nachmann; and will also fuse its investment-banking and trading operations under one group run by Dan Dees, Jim Esposito and Ashok Varadhan. 

However, most notably the money-losing consumer units will be broken up with Marcus, Goldman's direct consumer-banking arm, to be part of the asset- and wealth-management unit; while the bank's portfolio of FinTech platforms, specialty lender GreenSky, and its ventures with Apple and GM, will be hived off into a third division called Platform Solutions. 

A major reorganization of Goldman Sachs, including the combination of its investment-banking and trading operations, would help the bank optimize and improve overall efficiency, according to Wells Fargo analyst Mike Mayo. 


‚ÄúA move such as this can provide more potential to better optimize the company and help GS better orient toward meeting its target to improve efficiency and continue its decade-long transition from a broker to a more efficient global bank,‚Äù Mayo wrote in a note to clients.","Goldman Reportedly Readying Major Structural Overhaul

            In a total reversal of his prior plans, Goldman Sachs' CEO David Solomon appears...",GS,9/19/2022 0:00,positive
"FedEx Express plans to remove 29 aircraft from its fleet this year through permanent retirement and temporary storage, as demand shrinks. The company's integrated logistics and parcel carrier‚Äôs mainline fleet will actually grow by 10 aircraft this year as Boeing planes ordered years ago are delivered. FedEx Express retired 18 aircraft in the just-completed fiscal year, including 12 MD-11s, four Boeing 757-200s and two Airbus A300-600s. Despite this, Express revenues fell 13% in the fourth quarter, while operating income was halved at $430 million. FedEx plans to add 55 aircraft to its fleet in the next two years, while adding 24 767s and six 777s, 27 all-new Cessna 408 SkyCourier aircraft, and 16 ATR72-600. Pilots will vote next month on whether to ratify the deal.","FedEx is downsizing its fleet again during the next 12 months to match weak international and domestic package shipping demand, and save money. The post FedEx to shut down 29 more aircraft as demand shrinks appeared first on FreightWaves.",FDX,9/19/2022 0:00,neutral
"Air cargo rates slump but some companies see long-term strength. Now concerns about the economy, shifts in consumer pandemic spending habits — e-commerce binges this summer gave way instead to a stampede of vacation travel — and an increase in capacity is pushing air freight rates downward. FedEx last month shocked investors by pulling its guidance and announcing major cost cuts, including removing air capacity. ""If you look at the e-commerce segment of air cargo, that has grown significantly and that's probably not going to cycle back because we've all learned to acquire things in a different way,"" said Rob Morris, global head of consultancy at aviation data firm Cirium.","Air freight is a tiny part of the overall cargo market, but it's been pushed to the forefront during the pandemic.",FDX,9/20/2022 0:00,negative
"Bunge sees renewable diesel capacity of about 5 bln gallons by 2024. Agricultural commodities trader Bunge Ltd expects to see about 5 billion gallons of renewable diesel capacity by 2024, up from about 2 billion gallons currently, Chief Executive Greg Heckman said on Tuesday. 

The company has not altered its capacity plans after President Joe Biden's administration last week unveiled a three-year proposal to expand the U.S. biofuels policy with bigger volume mandates, Heckman said on a webcast. (Reporting by Tom Polansek; Editing by Mark Porter)","Agricultural commodities trader Bunge Ltd expects to see about 5 billion gallons of renewable diesel capacity by 2024, up from about 2 billion gallons currently, Chief Executive Greg Heckman said on Tuesday. The company has not altered its capacity plans after President Joe Biden's administration last week unveiled a three-year proposal to expand the U.S. biofuels policy with bigger volume mandates, Heckman said on a webcast. Some analysts have said the proposal was smaller than expected.",BG,9/20/2022 0:00,neutral
"The Supreme Court recently ruled that treating people based on their race specifically violates the equal protection clause of the U.S. Constitution. This ruling could put billions of dollars in government contracting at risk. The federal government awarded roughly $169.2 billion in contracts to small businesses in 2022, with nearly $70 billion going specifically to small disadvantaged businesses. Experts say those sorts of government set-asides might not pass muster with a conservative Supreme Court, and legal challenges on SBA programs have already begun. The SBA is likely to appeal the ruling, according to a separate blog post by law firm Holland and Knight LLP.","In June, the conservative majority on the Supreme Court curtailed college affirmative-action programs.",SBAC,9/20/2022 0:00,negative
"McDonald‚Äôs says higher prices helped lift U.S. sales. 

McDonald‚Äôs said on Thursday that its sales in the United States rose in the third quarter, as consumers paid more for their burgers and fries, the latest in a number of companies that have managed to increase prices without seeing a drop in demand. McDonald‚Äôs results followed a batch of positive earnings reports from companies that have raised prices without affecting demand. 



Earlier this month, the consumer-products giants Procter & Gamble and Nestl√© also said they increased prices significantly, but sales volumes were lower.",The fast-food chain is the latest in a number of companies that have managed to increase prices without seeing a drop in demand.,CMG,9/20/2022 0:00,positive
"Energy Capital Ventures raises $61M to decarbonize natural gas. 

Energy Capital Ventures, based in Chicago, has closed its $61 million debut fund aimed exclusively at reducing greenhouse gas emissions from the natural gas sector. 
‚Ä¢ It's not just about climate change: Natural gas‚Äìburning stoves have recently been tied to poor indoor air quality and resulting health impacts (though there are caveats).

Of note: Natural gas accounted for about one-third of the energy consumed in the U.S. in 2021, and about one-third of the country's energy-related carbon dioxide emissions, per the Energy Information Administration.
‚Ä¢ Some studies and reports have concluded that emissions from natural gas are even higher due to undetected leaks of methane, an especially potent greenhouse gas.

Yes, but: Soaring energy prices and strains on the grid show that natural gas isn't going anywhere anytime soon.

What they're saying: ""They knew that they‚Äôre dealing with constraints in their business. 

What's next: Energy Capital Ventures is trying to make ""green molecules"" happen ‚Äî it's trademarked the phrase to describe decarbonization in natural gas.",Energy Capital Ventures raises $61M to decarbonize natural gas,ES,9/20/2022 0:00,positive
"CVS Health (CVS) closed at $73.25 in the latest trading session, marking a -1.29% move from the prior day. Shares of the drugstore chain and pharmacy benefits manager had lost 0.27% over the past month, lagging the Retail-Wholesale sector's gain of 4.93%. The company is expected to report earnings of $2.09, down 5.86% from the previous-year quarter, and net sales of $81.6 billion. The Zacks Consensus Estimate for revenue is projecting net sales, up 6.22%, from the year-ago period. Investors should note that CVS Health has an impressive outside-audited track record of outperformance, with #1 stocks generating an average annual return of +25% since 1988. Meanwhile, the Zacks Industry Rank gauges the strength of our individual industry groups by measuring the average Zacks Rank of the individual stocks within the groups. Be sure to follow all of these stock-moving metrics, and many more, on Zacks.com.","CVS Health (CVS) closed the most recent trading day at $73.25, moving -1.29% from the previous trading session.",CVS,9/20/2022 0:00,positive
"First Solar Inc (NASDAQ:FSLR) has recently witnessed a decline of 2.72%, juxtaposed with a three-month change of -12.95%. Fresh insights from the GuruFocus Score Rating hint at potential headwinds, and the company's diminished rankings in financial strength, growth, and valuation suggest that the company might not live up to its historical performance. The GF Score ranges from 0 to 100, with 100 as the highest rank, and is a stock performance ranking system developed by GuruFocus using five aspects of valuation. Despite its impressive sales of $2.99 billion and an operating margin of 3.39%, First Solar Inc's recent performance raises concerns. As value investors, it's crucial to consider these factors when making investment decisions.",Unraveling the Factors Behind First Solar Inc's Potential Underperformance,FSLR,9/20/2022 0:00,positive
"CubicPV, a startup in the U.S. that has tried and failed to build a solar- component factory for 15 years, is now receiving massive green subsidies from investors and government loans to help it finally get a foothold in a market dominated by China. The company, founded by Massachusetts Institute of Technology engineers in 2008 and originally named 1366 Technologies, is focusing on a key solar-panel component called silicon wafers. It has tried to build wafer factories in three different countries, including the United States, but each attempt collapsed due to competition from less-expensive Chinese products. The Energy Department has said the loan program that included Solyndra, overall, turned a small profit and that the agency learned important lessons from the episode. Backers of the law say the government support and surge in private investment could allow the government to compete with China, which invested around $60 billion in solar manufacturing between 2006 and 2021.",The CEO says green subsidies in the U.S. mean its fourth factory attempt could be the charm.,FSLR,9/20/2022 0:00,negative
"Wolfe Research says buy Procter & Gamble, a defensive name as investors 'flee to safety'. 

Investors should consider putting their money in Procter & Gamble amid the ongoing search for safety in this difficult macro climate, according to Wolfe Research. He said in a note to clients Monday that the company is well positioned to weather this environment and improvements to its supply chain should drive growth ahead. ""We view Gillette's competitive environment to be favorable as smaller start-ups (Dollar Shave Club and Harry's) are now focused on profitability, while Tide will likely need a few more quarters to recover from its self-inflicted wounds.""",Wolfe Research says investors should consider putting their money in Procter & Gamble in this difficult macro climate.,PG,9/20/2022 0:00,negative
"The Nassau Legislature is set to vote on a proposed hotel/casino for the county on Monday. The protest was led by ""Say No to the Casino"" group, which organized the rally in front of the legislative building. The $4 billion lease agreement between the county and Las Vegas Sands for the Coliseum location is at issue due to the crime rate going up and property taxes going down in nearby neighborhoods. The project advanced after getting a thumbs-up from the legislature's Rules Committee earlier this month.",Several local politicians spoke at Sunday's event.,LVS,9/21/2022 0:00,positive
"After losing to Rep. George Santos (R-N.Y.) in a Long Island race that helped hand Republicans control of the U.S. House, Democrat Robert Zimmerman has become one of Santos‚Äô fiercest critics in the press. Asked to reconcile his work for Las Vegas Sands with Miriam Adelson‚Äôs status as a Republican megadonor and his past comments about her husband, Zimmerman told HuffPost that there was no conflict between his work for Las Vegas Sands and his views on the Adelson family‚Äôs political giving. As a public relations consultant rather than a lobbyist, Zimmerman is not required to disclose the compensation his firm is receiving for its work on behalf of Las Vegas Sands. The New York state legislature‚Äôs April authorization of three casino licenses in or around New York City has set off a scramble for a license in which Las Vegas Sands is now competing.","Robert Zimmerman, who may run again, says that his public relations work does not compromise his integrity.",LVS,9/21/2022 0:00,negative
"The Bureau of Labor Statistics reported that the headline inflation rate dipped to 4.9% in April, below the 5% median projection. This marked the tenth consecutive decline in the annual rate of inflation. On a monthly basis, the consumer price index (CPI) rose 0.4%, matching forecasts, and Core CPI was also in line with estimates. This data strengthened the case for a Fed pause at the next meeting, and investors are expecting more narrow price ranges ahead. The Zacks Large Cap Pharmaceuticals industry is currently ranked in the top 26% out of approximately 250 industries, and is expected to outperform the market over the next 3 to 6 months. Despite the impressive move, stocks in the Zacks large Cap pharmaceuticals industry remain relatively undervalued. Eli Lilly has exceeded earnings estimates in two of the last three quarters, and its stock price has risen 19%.",The headline inflation figure rose at the slowest rate in more than two years.,LLY,9/21/2022 0:00,positive
"The Massachusetts Growth Capital Corp. is distributing $75 million in COVID-19 assistance to small businesses in Massachusetts and a separate $3 million tranche to movie theaters that are recovering from the pandemic. The grants can range up to $75,000 per business, to pay for operating expenses. Amazon is teaming up with a unit of De Beers Group to grow artificial diamonds, betting that custom-made gems could help revolutionize computer networks. FedEx is seeking to cut $4 billion in costs by combining its two main delivery networks, in an ambitious plan by new chief executive Raj Subramaniam to increase profit margins. Volkswagen has ordered dealers in the United States and Canada to stop selling its ID.4 electric SUV because its doors might open while in motion, and the German carmaker doesn't yet have a fix for the problem.",Stories you may have missed from the world of business.,AMZN,9/21/2022 0:00,negative
"Coca-Cola Leans Into a New Market (Pepsi Is Already There). For decades the battle between Coca-Cola and PepsiCo battled over which company had the better-tasting cola. People were asked to sample both Pepsi and Coke in a blind taste test and, at least according to the ads, Pepsi was the overwhelming winner. Coke and Pepsi's battle for supremacy has spanned all sorts of different soda areas with both recently changing their ""zero sugar"" recipes (using the word diet is taboo now) and PepsiCo also recently killed its lemon-lime Sierra Mist brand to replace it with Starry, a new attempt to dethrone Coke's Sprite.","For decades the battle between Coca-Cola  and PepsiCo  battled over which company had the better-tasting cola.  People were asked to sample both Pepsi and Coke in a blind taste test and, at least according to the ads, Pepsi was the overwhelming winner.  Coke and Pepsi's battle for supremacy has spanned all sorts of different soda areas with both recently changing their ""zero sugar"" recipes (using the word diet is taboo now) and PepsiCo also recently killed its lemon-lime Sierra Mist brand to replace it with Starry, a new attempt to dethrone Coke's Sprite.",KO,9/21/2022 0:00,negative
"Ball Corporation will be hosting the BevNET Live Summer 2023 event in New York City to showcase its latest aluminum can and bottle portfolio. The event will focus on Ball's range of ""slim"" can capabilities, including new supply locations for the 5.5oz, 6.8oz, 8.4oz and 250mL aluminum bottles offering. Ball is committed to sustainability and their goals to achieve net zero carbon emissions, improve energy efficiency, and more. The company will also be sponsoring the Ball Corporation Live Official Happy Hour from 4-6 p.m. on Wednesday, June 14.",Ball Corporation (NYSE: BALL) will be showcasing its latest aluminum can and bottle portfolio at the upcoming BevNET Live Summer 2023 from June 14-15 in New York City.,BALL,9/21/2022 0:00,positive
